шлункова фаза соковиділення забезпечується не лише за рахунок нервової системи .	шлунковий фаза соковиділення забезпечуватися не лише за рахунок нервовий система .	ADJ;FEM;NOM;SG FEM;INAN;N;NOM;SG GEN;INAN;N;NEUT;SG 3;FIN;IND;IPFV;PRS;SG;V NEG;PART PART ACC;ADP ACC;INAN;MASC;N;SG ADJ;FEM;GEN;SG FEM;GEN;INAN;N;SG _
піддон – дерев’яна , пластикова або металева конструкція ( заводського чи ручного виконання ) з пазом , призначеним для транспортування відправлень за допомогою складських транспортних засобів , висотою не менше ніж 8 см ; розмір однієї зі сторін основи цієї конструкції становить не менше ніж 60 см , а іншої становить – від 60 см до 200 см ( включно ) .	піддон – дерев’яний , пластиковий або металевий конструкція ( заводський чи ручний виконання ) з паз , призначений для транспортування відправлення за допомога складський транспортний засіб , висота не менше ніж 8 см ; розмір один зі сторона основа цей конструкція становити не менше ніж 60 см , а інший становити – від 60 см до 200 см ( включно ) .	INAN;MASC;N;NOM;SG _ ADJ;FEM;NOM;SG _ ADJ;FEM;NOM;SG CONJ ADJ;FEM;NOM;SG FEM;INAN;N;NOM;SG _ ADJ;GEN;NEUT;SG CONJ ADJ;GEN;NEUT;SG GEN;INAN;N;NEUT;SG _ ADP;INS INAN;INS;MASC;N;SG _ ADJ;INS;MASC;PASS;PFV;SG;V.PTCP ADP;GEN GEN;INAN;N;NEUT;SG GEN;INAN;N;NEUT;PL ADP;INS FEM;INAN;INS;N;SG ADJ;GEN;PL ADJ;GEN;PL GEN;INAN;MASC;N;PL _ FEM;INAN;INS;N;SG NEG;PART ADV;CMPR CONJ NOM;NUM GEN;INAN;MASC;N;PL _ INAN;MASC;N;NOM;SG DET;FEM;GEN;SG ADP;GEN FEM;GEN;INAN;N;PL FEM;GEN;INAN;N;SG DET;FEM;GEN;SG FEM;GEN;INAN;N;SG 3;FIN;IND;IPFV;PRS;SG;V NEG;PART ADV;CMPR CONJ ACC;NUM GEN;INAN;MASC;N;PL _ CONJ DET;FEM;GEN;SG 3;FIN;IND;IPFV;PRS;SG;V _ ADP;GEN GEN;NUM GEN;INAN;MASC;N;PL ADP;GEN GEN;NUM GEN;INAN;MASC;N;PL _ ADV _ _
височенна , чотириярусна тайга , буйна й непролазна , як африканський праліс , стояла навколо зачарована .	височенний , чотириярусний тайга , буйний й непролазний , як африканський праліс , стояти навколо зачарований .	ADJ;FEM;NOM;SG _ ADJ;FEM;NOM;SG FEM;INAN;N;NOM;SG _ ADJ;FEM;NOM;SG CONJ ADJ;FEM;NOM;SG _ CONJ ADJ;MASC;NOM;SG INAN;MASC;N;NOM;SG _ FEM;FIN;IND;IPFV;PST;SG;V ADV ADJ;FEM;NOM;PASS;PFV;SG;V.PTCP _
ганьба й злочин .	ганьба й злочин .	FEM;INAN;N;NOM;SG CONJ INAN;MASC;N;NOM;SG _
чи вона до того приготована ?	чи вона до те приготований ?	PART 3;FEM;NOM;PRO;SG ADP;GEN GEN;INAN;NEUT;PRO;SG ADJ;FEM;NOM;PASS;PFV;SG;V.PTCP _
до 1999 р . діяла гідрошахта шахта « піонер » .	до 1999 р. . діяти гідрошахта шахта « піонер » .	ADP;GEN ADJ;GEN;MASC;SG GEN;INAN;MASC;N;SG _ FEM;FIN;IND;IPFV;PST;SG;V FEM;INAN;N;NOM;SG FEM;INAN;N;NOM;SG _ INAN;MASC;NOM;PROPN;SG _ _
мій брат побував у дитячій кімнаті з іншої причини .	мій брат побувати у дитячий кімната з інший причина .	1;DET;MASC;NOM;SG ANIM;MASC;N;NOM;SG FIN;IND;MASC;PFV;PST;SG;V ADP;ESS ADJ;ESS;FEM;SG ESS;FEM;INAN;N;SG ADP;GEN DET;FEM;GEN;SG FEM;GEN;INAN;N;SG _
я не представник видавництва , та все ж підкажу вам .	я не представник видавництво , та все ж підказати ви .	1;ANIM;NOM;PRO;SG NEG;PART ANIM;MASC;N;NOM;SG GEN;INAN;N;NEUT;SG _ CONJ ADV PART 1;FIN;FUT;IND;PFV;SG;V 2;ANIM;DAT;PL;PRO _
той , хто програв , мусив заколоти випадкового глядача , що опинився у цей час у цьому місці .	той , хто програти , мусити заколоти випадковий глядач , що опинитися у цей час у цей місце .	DET;MASC;NOM;SG _ ANIM;MASC;NOM;PRO;SG FIN;IND;MASC;PFV;PST;SG;V _ FIN;IND;IPFV;MASC;PST;SG;V NFIN;PFV;V ACC;ADJ;ANIM;MASC;SG ACC;ANIM;MASC;N;SG _ CONJ FIN;IND;MASC;PFV;PST;SG;V ACC;ADP ACC;DET;INAN;MASC;SG ACC;INAN;MASC;N;SG ADP;ESS DET;ESS;NEUT;SG ESS;INAN;N;NEUT;SG _
зрештою , й англічанам « піст » , — вони всі зажурені , що їх військо з метуеном бури розбили , через те навіть на гонки яхт не ходять , а в самих гонках тільки дві англійські яхти беруть участь , і то , певне , ірландські ( ірландці не журяться англійською бідою ) .	зрештою , й англічанин « піст » , — вони весь зажурений , що їх військо з метуен бур розбити , через те навіть на гонка яхта не ходити , а в самий гонка тільки два англійський яхта брати участь , і то , певне , ірландський ( ірландець не журитися англійський біда ) .	ADV _ CONJ ANIM;DAT;MASC;N;PL _ INAN;MASC;N;NOM;SG _ _ _ 3;NOM;PL;PRO DET;NOM;PL ADJ;NOM;PL _ CONJ 3;ACC;DET;NEUT;SG ACC;INAN;N;NEUT;SG ADP;INS ANIM;INS;MASC;PROPN;SG INAN;MASC;N;NOM;PL FIN;IND;PFV;PL;PST;V _ ACC;ADP ACC;INAN;NEUT;PRO;SG PART ACC;ADP ACC;FEM;INAN;N;PL FEM;GEN;INAN;N;PL NEG;PART 3;FIN;IND;IPFV;PL;PRS;V _ CONJ ADP;ESS DET;ESS;PL;REFL ESS;FEM;INAN;N;PL PART FEM;NOM;NUM ADJ;NOM;PL FEM;INAN;N;NOM;PL 3;FIN;IND;IPFV;PL;PRS;V ACC;FEM;INAN;N;SG _ CONJ PART _ ADV _ ADJ;NOM;PL _ ANIM;MASC;N;NOM;PL NEG;PART 3;FIN;IND;IPFV;PL;PRS;V ADJ;FEM;INS;SG FEM;INAN;INS;N;SG _ _
дякую .	дякувати .	1;FIN;IND;IPFV;PRS;SG;V _
двом першим загрожує ув‘язнення до 8 років , останньому загрожує – обмеження або позбавлення волі до 3-х років .	двоє перший загрожувати ув’язнення до 8 рік , останній загрожувати – обмеження або позбавлення воля до 3 рік .	DAT;NUM ADJ;DAT;PL 3;FIN;IND;IPFV;PRS;SG;V INAN;N;NEUT;NOM;SG ADP;GEN GEN;NUM GEN;INAN;MASC;N;PL _ ADJ;DAT;MASC;SG 3;FIN;IND;IPFV;PRS;SG;V _ INAN;N;NEUT;NOM;SG CONJ INAN;N;NEUT;NOM;SG FEM;GEN;INAN;N;SG ADP;GEN GEN;NUM;PL GEN;INAN;MASC;N;PL _
чи в стані вона виховати свідомих дітей нації , а не « дурних курчат » , коли на загально прийняту думку , була вона до цього часу лише « байстрюча мати яничар » ?	чи в стан вона виховати свідомий дитина нація , а не « дурний курча » , коли на загально прийнятий думка , бути вона до цей час лише « байстрючий мати яничар » ?	PART ADP;ESS ESS;INAN;MASC;N;SG 3;FEM;NOM;PRO;SG NFIN;PFV;V ACC;ADJ;ANIM;PL ACC;ANIM;FEM;N;PL FEM;GEN;INAN;N;SG _ CONJ NEG;PART _ ACC;ADJ;ANIM;PL ACC;ANIM;N;NEUT;PL _ _ CONJ ACC;ADP ADV ACC;ADJ;FEM;PASS;PFV;SG;V.PTCP ACC;FEM;INAN;N;SG _ FEM;FIN;IND;IPFV;PST;SG;V 3;FEM;NOM;PRO;SG ADP;GEN DET;GEN;MASC;SG GEN;INAN;MASC;N;SG PART _ ADJ;FEM;NOM;SG ANIM;FEM;N;NOM;SG ANIM;GEN;MASC;N;PL _ _
в ужгороді його застрелив совєтський офіцер .	в ужгород він застрелити совєтський офіцер .	ADP;ESS ESS;INAN;MASC;PROPN;SG 3;ACC;MASC;PRO;SG FIN;IND;MASC;PFV;PST;SG;V ADJ;MASC;NOM;SG ANIM;MASC;N;NOM;SG _
те , що в основі її лежать записи , є безперечним : ніхто не здатен таких речей підробити .	те , що в основа вона лежати запис , бути безперечний : ніхто не здатний такий річ підробити .	INAN;NEUT;NOM;PRO;SG _ CONJ ADP;ESS ESS;FEM;INAN;N;SG 3;FEM;GEN;PRO;SG 3;FIN;IND;IPFV;PL;PRS;V INAN;MASC;N;NOM;PL _ 3;FIN;IND;IPFV;PRS;SG;V ADJ;INS;NEUT;SG _ ANIM;NOM;PRO NEG;PART ADJ;MASC;NOM;SG DET;GEN;PL FEM;GEN;INAN;N;PL NFIN;PFV;V _
полегшить вам цей шлях пізнання книга , яку ви тримаєте в руках і з якою працюватимете впродовж навчального року .	полегшити ви цей шлях пізнання книга , який ви тримати в рука і з який працювати впродовж навчальний рік .	3;FIN;FUT;IND;PFV;SG;V 2;ANIM;DAT;PL;PRO ACC;DET;INAN;MASC;SG ACC;INAN;MASC;N;SG GEN;INAN;N;NEUT;SG FEM;INAN;N;NOM;SG _ ACC;DET;FEM;SG 2;ANIM;NOM;PL;PRO 2;FIN;IND;IPFV;PL;PRS;V ADP;ESS ESS;FEM;INAN;N;PL CONJ ADP;INS DET;FEM;INS;SG 2;FIN;FUT;IND;IPFV;PL;V ADP;GEN ADJ;GEN;MASC;SG GEN;INAN;MASC;N;SG _
заборонено .	заборонити .	0;FIN;IND;PFV;V _
більшість цих сімнадцятирічних хлопчиків і дівчаток перейшла через справжні бої з озброєними і бєзпрєдєльними заготівельниками ікри , червоної риби , ведмежого жиру , тисячолітньої модрини , гагачого пуху , тигрячих шкір , женьшеневого кореня .	більшість цей сімнадцятирічний хлопчик і дівчатко перейти через справжній бій з озброєний і бєзпрєдєльний заготівельник ікра , червоний риба , ведмежий жир , тисячолітній модрина , гагачий пух , тигрячий шкіра , женьшеневий корінь .	FEM;INAN;N;NOM;SG DET;GEN;PL ADJ;GEN;PL ANIM;GEN;MASC;N;PL CONJ ANIM;GEN;N;NEUT;PL FEM;FIN;IND;PFV;PST;SG;V ACC;ADP ACC;ADJ;INAN;PL ACC;INAN;MASC;N;PL ADP;INS ADJ;INS;PASS;PFV;PL;V.PTCP CONJ ADJ;INS;PL ANIM;INS;MASC;N;PL FEM;GEN;INAN;N;SG _ ADJ;FEM;GEN;SG ANIM;FEM;GEN;N;SG _ ADJ;GEN;MASC;SG GEN;INAN;MASC;N;SG _ ADJ;FEM;GEN;SG FEM;GEN;INAN;N;SG _ ADJ;GEN;MASC;SG GEN;INAN;MASC;N;SG _ ADJ;GEN;PL FEM;GEN;INAN;N;PL _ ADJ;GEN;MASC;SG GEN;INAN;MASC;N;SG _
а потім багато талантів та шукання нових доріг із одною метою .	а потім багато талант та шукання новий дорога із один мета .	CONJ ADV DET;NOM ANIM;GEN;MASC;N;PL CONJ GEN;INAN;N;NEUT;SG ADJ;GEN;PL FEM;GEN;INAN;N;PL ADP;INS DET;FEM;INS;SG FEM;INAN;INS;N;SG _
— одведи - таки та й одведи свою дочку в ліс : нехай її там звіряки з'їдять .	— одвести - таки та й одвести свій дочка в ліс : нехай вона там звіряка з’їсти .	_ 2;FIN;IMP;PFV;SG;V _ PART CONJ PART 2;FIN;IMP;PFV;SG;V ACC;DET;FEM;REFL;SG ACC;ANIM;FEM;N;SG ACC;ADP ACC;INAN;MASC;N;SG _ PART 3;ACC;FEM;PRO;SG ADV ANIM;MASC;N;NOM;PL 3;FIN;FUT;IND;PFV;PL;V _
в сутичках , коли не вдасться уникнути маневруванням , битися героїчно , завзято .	в сутичка , коли не вдатися уникнути маневрування , битися героїчно , завзято .	ADP;ESS ESS;FEM;INAN;N;PL _ ADV NEG;PART 3;FIN;FUT;IND;PFV;SG;V NFIN;PFV;V INAN;INS;N;NEUT;SG _ IPFV;NFIN;V ADV _ ADV _
загалом у тому таборі вижило близько півтори тисячі в’язнів .	загалом у той табір вижити близько півтори тисяча в’язень .	ADV ADP;ESS DET;ESS;MASC;SG ESS;INAN;MASC;N;SG FIN;IND;NEUT;PFV;PST;SG;V ADP;GEN FEM;GEN;NUM FEM;GEN;INAN;N;SG ANIM;GEN;MASC;N;PL _
було чутно шипіння , сичання та свистіння повсюди від аудиторії .	бути чутно шипіння , сичання та свистіння повсюди від аудиторія .	FIN;IND;IPFV;NEUT;PST;SG;V ADV ACC;INAN;N;NEUT;SG _ ACC;INAN;N;NEUT;SG CONJ ACC;INAN;N;NEUT;SG ADV ADP;GEN FEM;GEN;INAN;N;SG _
обдеремо його і зі шкури пошиємо бочкори !	обдерти він і зі шкура пошити бочкори !	1;FIN;FUT;IND;PFV;PL;V 3;ACC;MASC;PRO;SG CONJ ADP;GEN FEM;GEN;INAN;N;SG 1;FIN;FUT;IND;PFV;PL;V ACC;INAN;N _
я й лизнула — пів язика й залишилось на замку .	я й лизнути — пів язик й залишитися на замок .	1;ANIM;NOM;PRO;SG PART FEM;FIN;IND;PFV;PST;SG;V _ NOM;NUM GEN;INAN;MASC;N;SG PART FIN;IND;NEUT;PFV;PST;SG;V ADP;ESS ESS;INAN;MASC;N;SG _
діянет відкликала з німеччини деяких імамів після звинувачень їх у шпигунстві за власними прихожанами .	діянет відкликати з німеччина деякий імам після звинувачення вони у шпигунство за власний прихожанин .	INAN;MASC;NOM;PROPN;SG FEM;FIN;IND;PFV;PST;SG;V ADP;GEN FEM;GEN;INAN;PROPN;SG ACC;ANIM;DET;PL ACC;ANIM;MASC;N;PL ADP;GEN GEN;INAN;N;NEUT;PL 3;GEN;PL;PRO ADP;ESS ESS;INAN;N;NEUT;SG ADP;INS ADJ;INS;PL ANIM;INS;MASC;N;PL _
всередину утрамбовано утеплювач із ... соломи .	всередину утрамбувати утеплювач із … солома .	ADV 0;FIN;IND;PFV;V ACC;INAN;MASC;N;SG ADP;GEN _ FEM;GEN;INAN;N;SG _
але написи на суперобкладинках не збігаються .	але напис на суперобкладинка не збігатися .	CONJ INAN;MASC;N;NOM;PL ADP;ESS ESS;FEM;INAN;N;PL NEG;PART 3;FIN;IND;IPFV;PL;PRS;V _
а глава національного банку валерія гонтарєва заявляє , що міжнародний валютний фонд надіслав фінальну версію меморандуму співпраці 1 березня .	а глава національний банк валерія гонтарєва заявляти , що міжнародний валютний фонд надіслати фінальний версія меморандум співпраця 1 березень .	CONJ ANIM;MASC;N;NOM;SG ADJ;GEN;MASC;SG GEN;INAN;MASC;N;SG ANIM;FEM;NOM;PROPN;SG ANIM;FEM;NOM;PROPN;SG 3;FIN;IND;IPFV;PRS;SG;V _ CONJ ADJ;MASC;NOM;SG ADJ;MASC;NOM;SG INAN;MASC;N;NOM;SG FIN;IND;MASC;PFV;PST;SG;V ACC;ADJ;FEM;SG ACC;FEM;INAN;N;SG GEN;INAN;MASC;N;SG FEM;GEN;INAN;N;SG ADJ;GEN;NEUT;SG GEN;INAN;MASC;N;SG _
і от я наткнувся на , власне , самі документи .	і от я наткнутися на , власне , сам документ .	CONJ PART 1;ANIM;NOM;PRO;SG FIN;IND;MASC;PFV;PST;SG;V ACC;ADP _ PART _ ACC;DET;INAN;PL;REFL ACC;INAN;MASC;N;PL _
дощовим був переважно якийсь цілий місяць літа .	дощовий бути переважно якийсь цілий місяць літо .	ADJ;INS;MASC;SG FIN;IND;IPFV;MASC;PST;SG;V ADV DET;MASC;NOM;SG ADJ;MASC;NOM;SG INAN;MASC;N;NOM;SG GEN;INAN;N;NEUT;SG _
у цей період підключений до операції науково - технічний відділ фсб запропонував виготовити прилад , який перехоплював би промінь , що йде від телефону на супутник , фіксував точні координати абонента і передавав їх бомбардувальній авіації .	у цей період підключений до операція науковий - технічний відділ фсб запропонувати виготовити прилад , який перехоплювати би промінь , що йти від телефон на супутник , фіксувати точний координата абонент і передавати вони бомбардувальний авіація .	ACC;ADP ACC;DET;INAN;MASC;SG ACC;INAN;MASC;N;SG ADJ;MASC;NOM;PASS;PFV;SG;V.PTCP ADP;GEN FEM;GEN;INAN;N;SG ADJ _ ADJ;MASC;NOM;SG INAN;MASC;N;NOM;SG FEM;GEN;INAN;PROPN;SG FIN;IND;MASC;PFV;PST;SG;V NFIN;PFV;V ACC;INAN;MASC;N;SG _ DET;MASC;NOM;SG FIN;IND;IPFV;MASC;PST;SG;V COND;V ACC;INAN;MASC;N;SG _ CONJ 3;FIN;IND;IPFV;PRS;SG;V ADP;GEN GEN;INAN;MASC;N;SG ACC;ADP ACC;INAN;MASC;N;SG _ FIN;IND;IPFV;MASC;PST;SG;V ACC;ADJ;INAN;PL ACC;FEM;INAN;N;PL ANIM;GEN;MASC;N;SG CONJ FIN;IND;IPFV;MASC;PST;SG;V 3;ACC;PL;PRO ADJ;DAT;FEM;SG DAT;FEM;INAN;N;SG _
