brug den i tynde flager som gratinering af en ovnret eller i tern i salatskålen .	bruge den i tynd flage som gratinering af en ovnret eller i tern i salatskål .	IMP;V 3;ACC;MASC+FEM;PRO;SG ADP ADJ;PL INDF;MASC+FEM;N;PL ADP INDF;MASC+FEM;N;SG ADP DET;MASC+FEM;SG INDF;MASC+FEM;N;SG CONJ ADP INDF;N;PL ADP DEF;MASC+FEM;N;SG _
for første gang i 100 år tabte indre mission menighedsrådsvalget i skjern .	for første gang i 100 år tabe indre mission menighedsrådsvalg i skjern .	ADP ADJ INDF;MASC+FEM;N;SG ADP NUM INDF;N;NEUT;PL ACT;FIN;IND;PST;V ADJ INDF;MASC+FEM;N;SG DEF;N;NEUT;SG ADP PROPN _
det vil næppe volde rivalerne i dansk supermarked og aldi finansielle problemer at komme med et modspil i samme størrelsesorden .	det ville næppe volde rival i dansk supermarked og aldi finansiel problem at komme med en modspil i samme størrelsesorden .	3;ACC;NEUT;PRO;SG ACT;FIN;IND;PRS;V ADV ACT;NFIN;V DEF;MASC+FEM;N;PL ADP ADJ;INDF;SG INDF;N;NEUT;SG CONJ PROPN ADJ;PL INDF;N;NEUT;PL PART ACT;NFIN;V ADP DET;NEUT;SG INDF;N;NEUT;SG ADP ADJ INDF;MASC+FEM;N;SG _
800 job bortskære	800 job bortskære	NUM INDF;N;NEUT;PL _
- bor der to børn hér i huset ?	- bo der to barn her i hus ?	_ ACT;FIN;IND;PRS;V ADV NUM INDF;N;NEUT;PL ADV ADP DEF;N;NEUT;SG _
filmen " terrorboy ii " blev til i 1982 og er utvivlsomt den danske kultfilm , som er blevet set af færrest .	film " terrorboy ii " blive til i 1982 og være utvivlsomt den dansk kultfilm , som være blive se af få .	DEF;MASC+FEM;N;SG _ PROPN NUM _ ACT;FIN;IND;PST;V ADV ADP NUM CONJ ACT;FIN;IND;PRS;V ADV DET;MASC+FEM;SG ADJ;DEF;SG INDF;MASC+FEM;N;SG _ PRO ACT;FIN;IND;PRS;V INDF;PST;SG;V;V.PTCP INDF;PST;SG;V;V.PTCP ADP ADJ;PL;RL _
tyskerne kan godt lære os noget om venlighed , og om at klare situationen med et smil i stedet for en sur mine , " siger marianne dransfeldt , der skal bruge sommeren i praktik i det danske ferieland , hvor tysk i øjeblikket er det vigtigste arbejdssprog .	tysker kunne godt lære vi nogen om venlighed , og om at klare situation med en smil i sted for en sur mine , " sige marianne dransfeldt , der skulle bruge sommer i praktik i den dansk ferieland , hvor tysk i øjeblik være den vigtig arbejdssprog .	DEF;MASC+FEM;N;PL ACT;FIN;IND;PRS;V ADV ACT;NFIN;V 1;ACC;MASC+FEM;PL;PRO NEUT;PRO;SG ADP INDF;MASC+FEM;N;SG _ CONJ ADP PART ACT;NFIN;V DEF;MASC+FEM;N;SG ADP DET;NEUT;SG INDF;N;NEUT;SG ADP DEF;N;NEUT;SG ADP DET;MASC+FEM;SG ADJ;INDF;MASC+FEM;SG INDF;MASC+FEM;N;SG _ _ ACT;FIN;IND;PRS;V PROPN PROPN _ PRO ACT;FIN;IND;PRS;V ACT;NFIN;V DEF;MASC+FEM;N;SG ADP INDF;MASC+FEM;N;SG ADP DET;NEUT;SG ADJ;DEF;SG INDF;N;NEUT;SG _ ADV INDF;N;NEUT;SG ADP DEF;N;NEUT;SG ACT;FIN;IND;PRS;V DET;NEUT;SG ADJ;DEF;RL INDF;N;NEUT;SG _
først mere end et halvt århundrede senere kom det første alvorlige angreb mod færgefartens dominans i danske farvande .	først meget end en halv århundrede senere komme den første alvorlig angreb mod færgefart dominans i dansk farvand .	ADV ADJ;CMPR;INDF;SG ADP DET;NEUT;SG ADJ;INDF;NEUT;SG INDF;N;NEUT;SG ADV;CMPR ACT;FIN;IND;PST;V DET;NEUT;SG ADJ ADJ;DEF;SG INDF;N;NEUT;SG ADP DEF;GEN;MASC+FEM;N;SG INDF;MASC+FEM;N;SG ADP ADJ;PL INDF;N;NEUT;PL _
endelig er også inspektionsskibet fylla til salg .	endelig være også inspektionsskib fylla til salg .	ADV ACT;FIN;IND;PRS;V ADV DEF;N;NEUT;SG PROPN ADP INDF;N;NEUT;SG _
han har en ræv bag øret .	han have en ræv bag øre .	3;MASC+FEM;NOM;PRO;SG ACT;FIN;IND;PRS;V DET;MASC+FEM;SG INDF;MASC+FEM;N;SG ADP DEF;N;NEUT;SG _
guvernøren for erzincan-provinsen , fikret cuhadaroglu , oplyste , at en fjerdedel af byen lå i ruiner .	guvernør for erzincan-provins , fikret cuhadaroglu , oplyse , at en fjerdedel af by ligge i ruin .	DEF;MASC+FEM;N;SG ADP DEF;MASC+FEM;N;SG _ PROPN PROPN _ ACT;FIN;IND;PST;V _ CONJ DET;MASC+FEM;SG INDF;MASC+FEM;N;SG ADP DEF;MASC+FEM;N;SG ACT;FIN;IND;PST;V ADP INDF;MASC+FEM;N;PL _
man indkvarteres i hytter med fire ferieboligeri hver og maksimalt seks personer i hver bolig .	man indkvartere i hytte med fire ferieboligeri hver og maksimalt seks person i hver bolig .	MASC+FEM;NOM;PRO FIN;IND;PASS;PRS;V ADP INDF;MASC+FEM;N;PL ADP NUM _ MASC+FEM;PRO;SG CONJ ADV NUM INDF;MASC+FEM;N;PL ADP MASC+FEM;PRO;SG INDF;MASC+FEM;N;SG _
helsingør : bestyrelsen for lokalforeningen af kræftens bekæmpelse i helsingør kommune er samlet trådt tilbage på en generalforsamling i protest mod kræftens bekæmpelses hovedbestyrelse .	helsingør : bestyrelse for lokalforening af kræft bekæmpelse i helsingør kommune være samle træde tilbage på en generalforsamling i protest mod kræft bekæmpelse hovedbestyrelse .	PROPN _ DEF;MASC+FEM;N;SG ADP DEF;MASC+FEM;N;SG ADP DEF;GEN;MASC+FEM;N;SG INDF;MASC+FEM;N;SG ADP PROPN INDF;MASC+FEM;N;SG ACT;FIN;IND;PRS;V INDF;PST;SG;V;V.PTCP INDF;PST;SG;V;V.PTCP ADV ADP DET;MASC+FEM;SG INDF;MASC+FEM;N;SG ADP INDF;MASC+FEM;N;SG ADP DEF;GEN;MASC+FEM;N;SG GEN;INDF;MASC+FEM;N;SG INDF;MASC+FEM;N;SG _
hvis ikke , er man inaktiv .	hvis ikke , være man inaktiv .	CONJ ADV _ ACT;FIN;IND;PRS;V MASC+FEM;NOM;PRO ADJ;INDF;MASC+FEM;SG _
i retten har en række af fremtrædende embedsmænd meget indgående forklaret , hvor foruroligede de var over tamil-stoppet .	i ret have en række af fremtrædende embedsmand meget indgående forklare , hvor forurolige de være over tamil-stop .	ADP DEF;MASC+FEM;N;SG ACT;FIN;IND;PRS;V DET;MASC+FEM;SG INDF;MASC+FEM;N;SG ADP ADJ INDF;MASC+FEM;N;PL ADV ADV INDF;PST;SG;V;V.PTCP _ ADV PL;PST;V;V.PTCP 3;NOM;PL;PRO ACT;FIN;IND;PST;V ADP DEF;N;NEUT;SG _
der er ingen institutioner eller biblioteker blandt abonnenterne , kun enkeltpersoner .	der være ingen institution eller bibliotek blandt abonnent , kun enkeltperson .	ADV ACT;FIN;IND;PRS;V DET;MASC+FEM;SG INDF;MASC+FEM;N;PL CONJ INDF;N;NEUT;PL ADP DEF;MASC+FEM;N;PL _ ADV INDF;MASC+FEM;N;PL _
øverst på aviskiosken i passagen står en roligan med klaphat .	øverst på aviskiosk i passage stå en roligan med klaphat .	ADV;RL ADP DEF;MASC+FEM;N;SG ADP DEF;MASC+FEM;N;SG ACT;FIN;IND;PRS;V DET;MASC+FEM;SG INDF;MASC+FEM;N;SG ADP INDF;MASC+FEM;N;SG _
" nu bliver jeg kineser , " siger datteren i " klub held og glæde " , da hun kører over den kinesiske grænse .	" nu blive jeg kineser , " sige datter i " klub held og glæde " , da hun køre over den kinesisk grænse .	_ ADV ACT;FIN;IND;PRS;V 1;MASC+FEM;NOM;PRO;SG INDF;MASC+FEM;N;SG _ _ ACT;FIN;IND;PRS;V DEF;MASC+FEM;N;SG ADP _ INDF;MASC+FEM;N;SG INDF;N;NEUT;SG CONJ INDF;MASC+FEM;N;SG _ _ CONJ 3;MASC+FEM;NOM;PRO;SG ACT;FIN;IND;PRS;V ADP DET;MASC+FEM;SG ADJ;DEF;SG INDF;MASC+FEM;N;SG _
men løsningen på længere sigt er helt klart at lægge klubberne sammen , siger gerner jørgensen , formand for rudbjerg if .	men løsning på lang sigt være helt klart at lægge klub sammen , sige gerner jørgensen , formand for rudbjerg idrætsforening .	CONJ DEF;MASC+FEM;N;SG ADP ADJ;CMPR INDF;MASC+FEM;N;SG ACT;FIN;IND;PRS;V ADV ADV PART ACT;NFIN;V DEF;MASC+FEM;N;PL ADV _ ACT;FIN;IND;PRS;V PROPN PROPN _ INDF;MASC+FEM;N;SG ADP PROPN INDF;MASC+FEM;N;SG _
det klarer john winther i teba's tilfælde ved at tage alle unger på ventelisten ind .	det klare john winther i teba tilfælde ved at tage al unge på venteliste ind .	3;ACC;NEUT;PRO;SG ACT;FIN;IND;PRS;V PROPN PROPN ADP GEN;PROPN INDF;N;NEUT;SG ADP PART ACT;NFIN;V ADJ;PL INDF;MASC+FEM;N;PL ADP DEF;MASC+FEM;N;SG ADV _
han er købmandssøn fra hjørring og udgået fra sindal højere almueskole , hvorfra han tog til niels brocks højere handelsskole .	han være købmandssøn fra hjørring og udgå fra sindal høj almueskole , hvorfra han tage til niels brock høj handelsskole .	3;MASC+FEM;NOM;PRO;SG ACT;FIN;IND;PRS;V INDF;MASC+FEM;N;SG ADP PROPN CONJ INDF;PST;SG;V;V.PTCP ADP PROPN ADJ;CMPR INDF;MASC+FEM;N;SG _ ADV 3;MASC+FEM;NOM;PRO;SG ACT;FIN;IND;PST;V ADP PROPN GEN;PROPN ADJ;CMPR INDF;MASC+FEM;N;SG _
lad dejen hvile tildækket i mindst 1 time .	lade dej hvile tildække i mindst 1 time .	IMP;V DEF;MASC+FEM;N;SG ACT;NFIN;V INDF;PST;SG;V;V.PTCP ADP ADV;RL NUM INDF;MASC+FEM;N;SG _
men det var nu med retten frikassé af gedde og ørred , preben madsen trak sejren i land .	men det være nu med ret frikassé af gedde og ørred , preben madsen trække sejr i land .	CONJ 3;ACC;NEUT;PRO;SG ACT;FIN;IND;PST;V ADV ADP DEF;MASC+FEM;N;SG INDF;MASC+FEM;N;SG ADP INDF;MASC+FEM;N;SG CONJ INDF;MASC+FEM;N;SG _ PROPN PROPN ACT;FIN;IND;PST;V DEF;MASC+FEM;N;SG ADP INDF;N;NEUT;SG _
sonja er dybt forarget .	sonja være dybt forarge .	PROPN ACT;FIN;IND;PRS;V ADV INDF;PST;SG;V;V.PTCP _
hvem der skal spille op til dans , skal helst være en overraskelse .	hvem der skulle spille op til dans , skulle helst være en overraskelse .	MASC+FEM;PRO ADV ACT;FIN;IND;PRS;V ACT;NFIN;V ADV ADP INDF;MASC+FEM;N;SG _ ACT;FIN;IND;PRS;V ADV ACT;NFIN;V DET;MASC+FEM;SG INDF;MASC+FEM;N;SG _
jeg tager ud til sonja igen lige over middag , og jeg spiser sammen med hende på sygehuset .	jeg tage ud til sonja igen lige over middag , og jeg spise sammen med hun på sygehus .	1;MASC+FEM;NOM;PRO;SG ACT;FIN;IND;PRS;V ADV ADP PROPN ADV ADV ADP INDF;MASC+FEM;N;SG _ CONJ 1;MASC+FEM;NOM;PRO;SG ACT;FIN;IND;PRS;V ADV ADP 3;ACC;MASC+FEM;PRO;SG ADP DEF;N;NEUT;SG _
så længe jeg har fat i den bageste ende , så er det okay at være med i sådan et program . "	så længe jeg have fat i den bagest ende , så være det okay at være med i sådan en program . "	ADV ADV 1;MASC+FEM;NOM;PRO;SG ACT;FIN;IND;PRS;V ADV ADP DET;MASC+FEM;SG ADJ;DEF;RL INDF;MASC+FEM;N;SG _ ADV ACT;FIN;IND;PRS;V 3;ACC;NEUT;PRO;SG ADJ PART ACT;NFIN;V ADV ADP ADJ;INDF;MASC+FEM;SG DET;NEUT;SG INDF;N;NEUT;SG _ _
så meget mere foruroligende er det bosniske baghold , hvorved nogle af de serbiske soldater , der skulle udveksles for præsidenten , mistede livet .	så meget mere forurolige være den bosnisk baghold , hvorved nogen af den serbisk soldat , der skulle udveksle for præsident , miste liv .	ADV ADV ADV;CMPR PRS;V;V.PTCP ACT;FIN;IND;PRS;V DET;NEUT;SG ADJ;DEF;SG INDF;N;NEUT;SG _ ADV PL;PRO ADP DET;PL ADJ;PL INDF;MASC+FEM;N;PL _ PRO ACT;FIN;IND;PST;V NFIN;PASS;V ADP DEF;MASC+FEM;N;SG _ ACT;FIN;IND;PST;V DEF;N;NEUT;SG _
det havde unægtelig været mere hensigtsmæssigt , om vi havde lært , at kulturen har mange facetter , strækkende sig fra forsamlingshusene til de store scener .	det have unægtelig være mere hensigtsmæssig , om vi have lære , at kultur have mange facet , strække sig fra forsamlingshus til den stor scene .	3;ACC;NEUT;PRO;SG ACT;FIN;IND;PST;V ADV INDF;PST;SG;V;V.PTCP ADV;CMPR ADJ;INDF;NEUT;SG _ CONJ 1;MASC+FEM;NOM;PL;PRO ACT;FIN;IND;PST;V INDF;PST;SG;V;V.PTCP _ CONJ DEF;MASC+FEM;N;SG ACT;FIN;IND;PRS;V ADJ;PL INDF;MASC+FEM;N;PL _ PRS;V;V.PTCP 3;ACC;PRO;REFL ADP DEF;N;NEUT;PL ADP DET;PL ADJ;PL INDF;MASC+FEM;N;PL _
alle veje fører til rom .	al vej føre til rom .	ADJ;PL INDF;MASC+FEM;N;PL ACT;FIN;IND;PRS;V ADP PROPN _
vil du ... vil du gifte dig med mig , trine ?	ville du ... ville du gifte du med jeg , trine ?	ACT;FIN;IND;PRS;V 2;MASC+FEM;NOM;PRO;SG _ ACT;FIN;IND;PRS;V 2;MASC+FEM;NOM;PRO;SG ACT;NFIN;V 2;ACC;MASC+FEM;PRO;SG ADP 1;ACC;MASC+FEM;PRO;SG _ PROPN _
forligsresultatet på det offentlige område skal nu til urafstemning blandt ötvs medlemmer .	forligsresultat på den offentlig område skulle nu til urafstemning blandt ötv medlem .	DEF;N;NEUT;SG ADP DET;NEUT;SG ADJ;DEF;SG INDF;N;NEUT;SG ACT;FIN;IND;PRS;V ADV ADP INDF;MASC+FEM;N;SG ADP GEN;PROPN INDF;N;NEUT;PL _
ond rod giver ikke gode æbler .	ond rod give ikke god æble .	ADJ;INDF;MASC+FEM;SG INDF;MASC+FEM;N;SG ACT;FIN;IND;PRS;V ADV ADJ;PL INDF;N;NEUT;PL _
taber 2.000 kr	tabe 2.000 krone	ACT;FIN;IND;PRS;V NUM INDF;MASC+FEM;N;PL
- spørg distriktsredaktør ole andreasson om det , lød det i gentagne tilfælde .	- spørge distriktsredaktør ole andreasson om det , lyde det i gentage tilfælde .	_ IMP;V INDF;MASC+FEM;N;SG PROPN PROPN ADP 3;ACC;NEUT;PRO;SG _ ACT;FIN;IND;PST;V 3;ACC;NEUT;PRO;SG ADP PL;PST;V;V.PTCP INDF;N;NEUT;PL _
princippet med at gemme de store kursgevinster til " magre år " er i smuk overensstemmelse med " gennemsnitsprincippet " , men er det også i overensstemmelse med pensionsopsparernes interesser ?	princip med at gemme den stor kursgevinst til " mager år " være i smuk overensstemmelse med " gennemsnitsprincip " , men være det også i overensstemmelse med pensionsopsparer interesse ?	DEF;N;NEUT;SG ADP PART ACT;NFIN;V DET;PL ADJ;PL INDF;MASC+FEM;N;PL ADP _ ADJ;PL INDF;N;NEUT;PL _ ACT;FIN;IND;PRS;V ADP ADJ;INDF;MASC+FEM;SG INDF;MASC+FEM;N;SG ADP _ DEF;N;NEUT;SG _ _ CONJ ACT;FIN;IND;PRS;V 3;ACC;NEUT;PRO;SG ADV ADP INDF;MASC+FEM;N;SG ADP DEF;GEN;MASC+FEM;N;PL INDF;MASC+FEM;N;PL _
og hvad kan jeg gøre andet end at håbe , siger den 23-årige kitt , som kun nåede at være mor i en time	og hvad kunne jeg gøre anden end at håbe , sige den 23-årig kitt , som kun nå at være mor i en time	CONJ PRO;SG ACT;FIN;IND;PRS;V 1;MASC+FEM;NOM;PRO;SG ACT;NFIN;V NEUT;PRO;SG ADP PART ACT;NFIN;V _ ACT;FIN;IND;PRS;V DET;MASC+FEM;SG ADJ;DEF;SG PROPN _ PRO ADV ACT;FIN;IND;PST;V PART ACT;NFIN;V INDF;MASC+FEM;N;SG ADP DET;MASC+FEM;SG INDF;MASC+FEM;N;SG
i en rapport til retsudvalget har dr siden rettet en sønderlemmende kritik mod den redegørelse , som statsadvokaten og rigsadvokaten har lavet .	i en rapport til retsudvalg have dr siden rette en sønderlemme kritik mod den redegørelse , som statsadvokat og rigsadvokat have lave .	ADP DET;MASC+FEM;SG INDF;MASC+FEM;N;SG ADP DEF;N;NEUT;SG ACT;FIN;IND;PRS;V PROPN ADV INDF;PST;SG;V;V.PTCP DET;MASC+FEM;SG PRS;V;V.PTCP INDF;MASC+FEM;N;SG ADP DET;MASC+FEM;SG INDF;MASC+FEM;N;SG _ PRO DEF;MASC+FEM;N;SG CONJ DEF;MASC+FEM;N;SG ACT;FIN;IND;PRS;V INDF;PST;SG;V;V.PTCP _
de fire har dog i det sidste år fået set verden .	den fire have dog i den sidste år få se verden .	PL;PRO NUM ACT;FIN;IND;PRS;V ADV ADP DET;NEUT;SG ADJ INDF;N;NEUT;SG INDF;PST;SG;V;V.PTCP INDF;PST;SG;V;V.PTCP INDF;MASC+FEM;N;SG _
så gik jeg ned på gaden , fandt en vinhandler og indkøbte en halv flaske af den cognac , jeg huskede anne holdt mest af .	så gå jeg ned på gade , finde en vinhandler og indkøbe en halv flaske af den cognac , jeg huske anne holde mest af .	ADV ACT;FIN;IND;PST;V 1;MASC+FEM;NOM;PRO;SG ADV ADP DEF;MASC+FEM;N;SG _ ACT;FIN;IND;PST;V DET;MASC+FEM;SG INDF;MASC+FEM;N;SG CONJ ACT;FIN;IND;PST;V DET;MASC+FEM;SG ADJ;INDF;MASC+FEM;SG INDF;MASC+FEM;N;SG ADP DET;MASC+FEM;SG INDF;MASC+FEM;N;SG _ 1;MASC+FEM;NOM;PRO;SG ACT;FIN;IND;PST;V PROPN ACT;FIN;IND;PST;V ADV;RL ADP _
nye i btcc	ny i btcc	ADJ;PL ADP PROPN
selv får birlik illegalt trykt sin ugeavis i moskva og sverdlovsk og derefter smuglet ind i landet .	selv få birlik illegalt trykke sin ugeavis i moskva og sverdlovsk og derefter smugle ind i land .	PRO ACT;FIN;IND;PRS;V PROPN ADV INDF;PST;SG;V;V.PTCP 3;DET;MASC+FEM;PSSS;REFL;SG INDF;MASC+FEM;N;SG ADP PROPN CONJ PROPN CONJ ADV INDF;PST;SG;V;V.PTCP ADV ADP DEF;N;NEUT;SG _
resultatet for 1991/92 er præget af koncernens store internationale investeringer inden for fødevaresektoren .	resultat for 1991/92 være præge af koncern stor international investering inden for fødevaresektor .	DEF;N;NEUT;SG ADP NUM ACT;FIN;IND;PRS;V INDF;PST;SG;V;V.PTCP ADP DEF;GEN;MASC+FEM;N;SG ADJ;PL ADJ;PL INDF;MASC+FEM;N;PL ADV ADP DEF;MASC+FEM;N;SG _
konkurrencen er benhård , da udstyr til satellitter ofte er de internationale virksomheders flagskibe med stor reklameværdi .	konkurrence være benhård , da udstyr til satellit ofte være den international virksomhed flagskib med stor reklameværdi .	DEF;MASC+FEM;N;SG ACT;FIN;IND;PRS;V ADJ;INDF;MASC+FEM;SG _ CONJ INDF;N;NEUT;SG ADP INDF;MASC+FEM;N;PL ADV ACT;FIN;IND;PRS;V DET;PL ADJ;PL GEN;INDF;MASC+FEM;N;PL INDF;N;NEUT;PL ADP ADJ;INDF;MASC+FEM;SG INDF;MASC+FEM;N;SG _
det var en meget vigtig og banebrydende beslutning , fordi flådeindsatsen koordineres mellem vestunionen og nato .	det være en meget vigtig og banebrydende beslutning , fordi flådeindsats koordinere mellem vestunion og nato .	3;ACC;NEUT;PRO;SG ACT;FIN;IND;PST;V DET;MASC+FEM;SG ADV ADJ;INDF;MASC+FEM;SG CONJ ADJ INDF;MASC+FEM;N;SG _ CONJ DEF;MASC+FEM;N;SG FIN;IND;PASS;PRS;V ADP DEF;MASC+FEM;N;SG CONJ PROPN _
bambus	bambus	INDF;MASC+FEM;N;SG
eneste af de ellers ophugningsmodne fartøjer , der slet ikke må sejle videre , er ubåden spækhuggeren , s327 , som siden 1957 har passet på østersøen og af og til også været ude i atlanten som enhed i stavlandnorth , natos stående atlanterhavsflåde .	eneste af den ellers ophugningsmoden fartøj , der slet ikke måtte sejle videre , være ubåd spækhugger , s327 , som siden 1957 have passe på østersøen og af og til også være ude i atlanten som enhed i stavlandnorth , nato stå atlanterhavsflåde .	ADJ ADP DET;PL ADV ADJ;PL INDF;N;NEUT;PL _ PRO ADV ADV ACT;FIN;IND;PRS;V ACT;NFIN;V ADV _ ACT;FIN;IND;PRS;V DEF;MASC+FEM;N;SG DEF;MASC+FEM;N;SG _ _ _ PRO ADP NUM ACT;FIN;IND;PRS;V INDF;PST;SG;V;V.PTCP ADP PROPN CONJ ADV CONJ ADV ADV INDF;PST;SG;V;V.PTCP ADV ADP PROPN ADP INDF;MASC+FEM;N;SG ADP PROPN _ GEN;PROPN PRS;V;V.PTCP INDF;MASC+FEM;N;SG _
dette indgik som ændringsforslag til ministerens lovforslag , der blev vedtaget - men alligevel uden at cd kunne stemme for loven som helhed .	denne indgå som ændringsforslag til minister lovforslag , der blive vedtage - men alligevel uden at cd kunne stemme for lov som helhed .	NEUT;PRO;SG ACT;FIN;IND;PST;V ADP INDF;N;NEUT;SG ADP DEF;GEN;MASC+FEM;N;SG INDF;N;NEUT;SG _ PRO ACT;FIN;IND;PST;V INDF;PST;SG;V;V.PTCP _ CONJ ADV ADP CONJ PROPN ACT;FIN;IND;PST;V ACT;NFIN;V ADP DEF;MASC+FEM;N;SG ADP INDF;MASC+FEM;N;SG _
der bruges ca. 1 dl dej til hver vaffel , og de serveres sprøde og gyldne , lige så snart , de er bagt .	der bruge cirka 1 deciliter dej til hver vaffel , og de servere sprød og gylden , lige så snart , de være bage .	ADV FIN;IND;PASS;PRS;V ADV NUM INDF;MASC+FEM;N;SG INDF;MASC+FEM;N;SG ADP MASC+FEM;PRO;SG INDF;MASC+FEM;N;SG _ CONJ 3;NOM;PL;PRO FIN;IND;PASS;PRS;V ADJ;PL CONJ ADJ;PL _ ADV ADV ADV _ 3;NOM;PL;PRO ACT;FIN;IND;PRS;V INDF;PST;SG;V;V.PTCP _
en skruetrækker	en skruetrækker	DET;MASC+FEM;SG INDF;MASC+FEM;N;SG
to spanske tv-folk blev gennembanket af sovjet-soldater , fordi de havde filmet en såret litauer , der blev hjulpet væk fra slagmarken .	to spansk tv-folk blive gennembanke af sovjet-soldat , fordi de have filme en såre litauer , der blive hjælpe væk fra slagmark .	NUM ADJ;PL INDF;N;NEUT;PL ACT;FIN;IND;PST;V INDF;PST;SG;V;V.PTCP ADP INDF;MASC+FEM;N;PL _ CONJ 3;NOM;PL;PRO ACT;FIN;IND;PST;V INDF;PST;SG;V;V.PTCP DET;MASC+FEM;SG INDF;PST;SG;V;V.PTCP INDF;MASC+FEM;N;SG _ PRO ACT;FIN;IND;PST;V INDF;PST;SG;V;V.PTCP ADV ADP DEF;MASC+FEM;N;SG _
det er svært at forstå , hvorfor de radikale og partierne til venstre tilsyneladende har fået et monopol på at føre en offensiv kulturpolitik .	det være svær at forstå , hvorfor den radikal og parti til venstre tilsyneladende have få en monopol på at føre en offensiv kulturpolitik .	3;ACC;NEUT;PRO;SG ACT;FIN;IND;PRS;V ADJ;INDF;NEUT;SG PART ACT;NFIN;V _ ADV DET;PL ADJ;PL CONJ DEF;N;NEUT;PL ADP ADJ ADV ACT;FIN;IND;PRS;V INDF;PST;SG;V;V.PTCP DET;NEUT;SG INDF;N;NEUT;SG ADP PART ACT;NFIN;V DET;MASC+FEM;SG ADJ;INDF;MASC+FEM;SG INDF;MASC+FEM;N;SG _
men hvis de ikke lever op til behovet for fornyelse og omstilling , vil det forstærke det politiske incitament til at lave forskningsprogrammer i stedet for at give basisbevillinger .	men hvis de ikke leve op til behov for fornyelse og omstilling , ville det forstærke den politisk incitament til at lave forskningsprogram i sted for at give basisbevilling .	CONJ CONJ 3;NOM;PL;PRO ADV ACT;FIN;IND;PRS;V ADV ADP DEF;N;NEUT;SG ADP INDF;MASC+FEM;N;SG CONJ INDF;MASC+FEM;N;SG _ ACT;FIN;IND;PRS;V 3;ACC;NEUT;PRO;SG ACT;NFIN;V DET;NEUT;SG ADJ;DEF;SG INDF;N;NEUT;SG ADP PART ACT;NFIN;V INDF;N;NEUT;PL ADP DEF;N;NEUT;SG ADP PART ACT;NFIN;V INDF;MASC+FEM;N;PL _
levestandarden	levestandard	DEF;MASC+FEM;N;SG
bag initiativet står roskilde domsogns menighedsråd og flere private sponsorer .	bag initiativ stå roskilde domsogn menighedsråd og mange privat sponsor .	ADP DEF;N;NEUT;SG ACT;FIN;IND;PRS;V PROPN GEN;INDF;N;NEUT;SG INDF;N;NEUT;SG CONJ ADJ;CMPR;PL ADJ;PL INDF;MASC+FEM;N;PL _
- jeg ser ganske almindelig ud , det ved jeg da godt .	- jeg se ganske almindelig ud , det vide jeg da godt .	_ 1;MASC+FEM;NOM;PRO;SG ACT;FIN;IND;PRS;V ADV ADV ADV _ 3;ACC;NEUT;PRO;SG ACT;FIN;IND;PRS;V 1;MASC+FEM;NOM;PRO;SG ADV ADV _
- ingen armeniere blev dræbt i kirovabad .	- ingen armenier blive dræbe i kirovabad .	_ DET;MASC+FEM;SG INDF;MASC+FEM;N;PL ACT;FIN;IND;PST;V INDF;PST;SG;V;V.PTCP ADP PROPN _
selv nyder jeg på en sommerdag at slutte måltidet med frisk frugt i små terninger overhældt med sirup og hakkede nødder .	selv nyde jeg på en sommerdag at slutte måltid med frisk frugt i lille terning overhælde med sirup og hakke nød .	PRO ACT;FIN;IND;PRS;V 1;MASC+FEM;NOM;PRO;SG ADP DET;MASC+FEM;SG INDF;MASC+FEM;N;SG PART ACT;NFIN;V DEF;N;NEUT;SG ADP ADJ;INDF;SG INDF;MASC+FEM;N;SG ADP ADJ;PL INDF;MASC+FEM;N;PL INDF;PST;SG;V;V.PTCP ADP INDF;MASC+FEM;N;SG CONJ PL;PST;V;V.PTCP INDF;MASC+FEM;N;PL _
men konferencens titel sluttede med ordene " - og deres virkninger på miljøet " , og deri består netop dilemmaet .	men konference titel slutte med ord " - og deres virkning på miljø " , og deri bestå netop dilemma .	CONJ DEF;GEN;MASC+FEM;N;SG INDF;MASC+FEM;N;SG ACT;FIN;IND;PST;V ADP DEF;N;NEUT;PL _ _ CONJ 3;DET;PSSP INDF;MASC+FEM;N;PL ADP DEF;N;NEUT;SG _ _ CONJ ADV ACT;FIN;IND;PRS;V ADV DEF;N;NEUT;SG _
- ja , det er mig .	- ja , det være jeg .	_ INTJ _ 3;ACC;NEUT;PRO;SG ACT;FIN;IND;PRS;V 1;ACC;MASC+FEM;PRO;SG _
der skal anlægges to baner .	der skulle anlægge to bane .	ADV ACT;FIN;IND;PRS;V NFIN;PASS;V NUM INDF;MASC+FEM;N;PL _
hemingway beskrev den tidlig og sent i billedet af et isbjerg .	hemingway beskrive den tidlig og sent i billede af en isbjerg .	PROPN ACT;FIN;IND;PST;V 3;ACC;MASC+FEM;PRO;SG ADV CONJ ADV ADP DEF;N;NEUT;SG ADP DET;NEUT;SG INDF;N;NEUT;SG _
vi ved , at forsvarsministeren har vidst det .	vi vide , at forsvarsminister have vide det .	1;MASC+FEM;NOM;PL;PRO ACT;FIN;IND;PRS;V _ CONJ DEF;MASC+FEM;N;SG ACT;FIN;IND;PRS;V INDF;PST;SG;V;V.PTCP 3;ACC;NEUT;PRO;SG _
sammenligne de to værker .	sammenligne den to værk .	ACT;NFIN;V DET;PL NUM INDF;N;NEUT;PL _
