catherine of russia was also very satisfied .	catherine of russia be also very satisfied .	PROPN;SG ADP PROPN;SG 3;FIN;IND;PST;SG;V ADV ADV ADJ _
barón de claret , the only one in government with a noble title .	barón de claret , the only one in government with a noble title .	PROPN;SG PROPN;SG PROPN;SG _ DEF;DET ADJ N;SG ADP N;SG ADP DET;INDF ADJ N;SG _
in pluviose year iii ( january - february 1794 ) , easing off the pressure of the reign of terror , he took various measures to liberate the suspects .	in pluviose year iii ( january - february 1794 ) , ease off the pressure of the reign of terror , he take various measure to liberate the suspect .	ADP PROPN;SG N;SG NUM _ PROPN;SG _ PROPN;SG NUM _ _ V;V.MSDR ADV DEF;DET N;SG ADP DEF;DET N;SG ADP N;SG _ 3;MASC;NOM;PRO;SG FIN;IND;PST;V ADJ N;PL PART NFIN;V DEF;DET N;PL _
a level that in both cases is at the top of the eu .	a level that in both case be at the top of the eu .	DET;INDF N;SG PRO ADP DET N;PL 3;FIN;IND;PRS;SG;V ADP DEF;DET N;SG ADP DEF;DET PROPN;SG _
that 's what keeps us coming back for more .	that be what keep we come back for more .	PRO;SG 3;FIN;IND;PRS;SG;V PRO 3;FIN;IND;PRS;SG;V 1;ACC;PL;PRO V;V.MSDR ADV ADP ADJ;CMPR _
there are more differences between sulla and trump , rome and the u.s. , than there are similarities , but that does n’t discredit the resemblances .	there be more difference between sulla and trump , rome and the u.s. , than there be similarity , but that do n’t discredit the resemblance .	PRO FIN;IND;PRS;V ADJ;CMPR N;PL ADP PROPN;SG CONJ PROPN;SG _ PROPN;SG CONJ DEF;DET PROPN;SG _ CONJ PRO FIN;IND;PRS;V N;PL _ CONJ PRO;SG 3;FIN;IND;PRS;SG;V ADV;NEG NFIN;V DEF;DET N;PL _
the world – and by extension the uk – is facing a shortage of people with the skills needed to mount an effective defence .	the world – and by extension the uk – be face a shortage of people with the skill need to mount a effective defence .	DEF;DET N;SG _ CONJ ADP N;SG DEF;DET PROPN;SG _ 3;FIN;IND;PRS;SG;V PRS;V;V.PTCP DET;INDF N;SG ADP N;PL ADP DEF;DET N;PL PST;V;V.PTCP PART NFIN;V DET;INDF ADJ N;SG _
the car burst into flames , and kenseth walked away .	the car burst into flame , and kenseth walk away .	DEF;DET N;SG FIN;IND;PST;V ADP N;PL _ CONJ PROPN;SG FIN;IND;PST;V ADV _
a voucher is generated that can be saved on your smartphone , or presented at the till .	a voucher be generate that can be save on you smartphone , or present at the till .	DET;INDF N;SG 3;FIN;IND;PRS;SG;V PST;V;V.PTCP PRO;SG FIN;V NFIN;V PST;V;V.PTCP ADP 2;PRO N;SG _ CONJ PST;V;V.PTCP ADP DEF;DET N;SG _
water from the rivers is used in over 500 hydroelectricity power plants , generating as much as 2900 kilowatts of electricity .	water from the river be use in over 500 hydroelectricity power plant , generate as much as 2900 kilowatt of electricity .	N;SG ADP DEF;DET N;PL 3;FIN;IND;PRS;SG;V PST;V;V.PTCP ADP ADV NUM N;SG N;SG N;PL _ V;V.MSDR ADV ADJ ADP NUM N;PL ADP N;SG _
at the heart of the conflict was the question of whether kansas would enter the union as a free state or slave state .	at the heart of the conflict be the question of whether kansas would enter the union as a free state or slave state .	ADP DEF;DET N;SG ADP DEF;DET N;SG 3;FIN;IND;PST;SG;V DEF;DET N;SG CONJ CONJ PROPN;SG FIN;V NFIN;V DEF;DET PROPN;SG ADP DET;INDF ADJ N;SG CONJ N;SG N;SG _
republican economists caution against taking this data as proof that their party is lousy at economic policy .	republican economist caution against take this data as proof that they party be lousy at economic policy .	ADJ N;PL FIN;IND;PRS;V CONJ V;V.MSDR DET;SG N;SG ADP N;SG CONJ 3;PL;PRO N;SG 3;FIN;IND;PRS;SG;V ADJ ADP ADJ N;SG _
in this context , railing against trade makes sense .	in this context , rail against trade make sense .	ADP DET;SG N;SG _ V;V.MSDR ADP N;SG 3;FIN;IND;PRS;SG;V N;SG _
whatever the rules were , the fights often resulted in the death of one of the stallions .	whatever the rule be , the fight often result in the death of one of the stallion .	DET DEF;DET N;PL FIN;IND;PST;V _ DEF;DET N;PL ADV FIN;IND;PST;V ADP DEF;DET N;SG ADP NUM ADP DEF;DET N;PL _
shenzhen 's traffic police have opted for unconventional penalties before .	shenzhen 's traffic police have opt for unconventional penalty before .	PROPN;SG PART N;SG N;PL FIN;IND;PRS;V PST;V;V.PTCP ADP ADJ N;PL ADV _
who are they ?	who be they ?	PRO FIN;IND;PRS;V 3;NOM;PL;PRO _
" we are seeing many , many countries and especially large new emitters like brazil , south africa , india and china stepping up to the plate in terms of playing a role in reducing emissions , " said guilbeault .	" we be see many , many country and especially large new emitter like brazil , south africa , india and china step up to the plate in term of play a role in reduce emission , " say guilbeault .	_ 1;NOM;PL;PRO FIN;IND;PRS;V PRS;V;V.PTCP ADJ _ ADJ N;PL CONJ ADV ADJ ADJ N;PL ADP PROPN;SG _ PROPN;SG PROPN;SG _ PROPN;SG CONJ PROPN;SG V;V.MSDR ADP ADP DEF;DET N;SG ADP N;PL CONJ V;V.MSDR DET;INDF N;SG CONJ V;V.MSDR N;PL _ _ FIN;IND;PST;V PROPN;SG _
the khitans had made several aggressive negotiations of pushing their borders south , while manipulating several incompetent chinese ambassadors who conceded to the liao kingdom 's demands .	the khitans have make several aggressive negotiation of push they border south , while manipulate several incompetent chinese ambassador who concede to the liao kingdom 's demand .	DEF;DET PL;PROPN FIN;IND;PST;V PST;V;V.PTCP ADJ ADJ N;PL CONJ V;V.MSDR 3;PL;PRO N;PL ADV _ CONJ V;V.MSDR ADJ ADJ ADJ N;PL PRO FIN;IND;PST;V ADP DEF;DET PROPN;SG PROPN;SG PART N;PL _
retail and wholesale businesses expanded as shoppers remained upbeat , and consumer services companies also grew .	retail and wholesale business expand as shopper remain upbeat , and consumer service company also grow .	N;SG CONJ N;SG N;PL FIN;IND;PST;V CONJ N;PL FIN;IND;PST;V ADJ _ CONJ N;SG N;PL N;PL ADV FIN;IND;PST;V _
meanwhile , the estranged wife of a government whip has launched her campaign to take the seat .	meanwhile , the estranged wife of a government whip have launch she campaign to take the seat .	ADV _ DEF;DET ADJ N;SG ADP DET;INDF N;SG N;SG 3;FIN;IND;PRS;SG;V PST;V;V.PTCP 3;FEM;PRO;SG N;SG PART NFIN;V DEF;DET N;SG _
the promise of new royal navy orders to secure the clyde shipbuilding industry was made before the scottish independence referendum in 2014 .	the promise of new royal navy order to secure the clyde shipbuilding industry be make before the scottish independence referendum in 2014 .	DEF;DET N;SG ADP ADJ ADJ N;SG N;PL PART NFIN;V DEF;DET PROPN;SG N;SG N;SG 3;FIN;IND;PST;SG;V PST;V;V.PTCP ADP DEF;DET ADJ N;SG N;SG ADP NUM _
by the 3rd century the emperor caracalla made a new division which lasted only a short time .	by the 3rd century the emperor caracalla make a new division which last only a short time .	ADP DEF;DET ADJ N;SG DEF;DET N;SG PROPN;SG FIN;IND;PST;V DET;INDF ADJ N;SG PRO FIN;IND;PST;V ADV DET;INDF ADJ N;SG _
she was offered several scripts , television commercials , and stage projects , but none piqued her interest .	she be offer several script , television commercial , and stage project , but none pique she interest .	3;FEM;NOM;PRO;SG 3;FIN;IND;PST;SG;V PST;V;V.PTCP ADJ N;PL _ N;SG N;PL _ CONJ N;SG N;PL _ CONJ N;SG FIN;IND;PST;V 3;FEM;PRO;SG N;SG _
prior to emperor meiji , the names of the eras were changed more frequently , and the posthumous names of the emperors were chosen in a different manner .	prior to emperor meiji , the name of the era be change more frequently , and the posthumous name of the emperor be choose in a different manner .	ADV ADP N;SG PROPN;SG _ DEF;DET N;PL ADP DEF;DET N;PL FIN;IND;PST;V PST;V;V.PTCP ADV ADV _ CONJ DEF;DET ADJ N;PL ADP DEF;DET N;PL FIN;IND;PST;V PST;V;V.PTCP ADP DET;INDF ADJ N;SG _
in theory , if done right , it ’s un-detectable .	in theory , if do right , it ’s un-detectable .	ADP N;SG _ CONJ PST;V;V.PTCP ADJ _ 3;NEUT;NOM;PRO;SG 3;FIN;IND;PRS;SG;V ADJ _
the 2019 winter universiade will be hosted by krasnoyarsk .	the 2019 winter universiade will be host by krasnoyarsk .	DEF;DET NUM PROPN;SG N;SG FIN;V NFIN;V PST;V;V.PTCP ADP PROPN;SG _
it 's also fuelled the emergence of modern high - rises -- like the visionary mahanakhon , bangkok 's tallest building .	it be also fuel the emergence of modern high - rises -- like the visionary mahanakhon , bangkok 's tallest building .	3;NEUT;NOM;PRO;SG 3;FIN;IND;PRS;SG;V ADV FIN;IND;PST;V DEF;DET N;SG ADP ADJ ADJ _ N;PL _ ADP DEF;DET ADJ PROPN;SG _ PROPN;SG PART ADJ;RL N;SG _
although the area is only about 11 percent of the surface area of europe , the alps provide up to 90 percent of water to lowland europe , particularly to arid areas and during the summer months .	although the area be only about 11 percent of the surface area of europe , the alps provide up to 90 percent of water to lowland europe , particularly to arid area and during the summer month .	CONJ DEF;DET N;SG 3;FIN;IND;PRS;SG;V ADV ADV NUM N;SG ADP DEF;DET N;SG N;SG ADP PROPN;SG _ DEF;DET PL;PROPN FIN;IND;PRS;V ADP ADP NUM N;SG ADP N;SG ADP N;SG PROPN;SG _ ADV ADP ADJ N;PL CONJ ADP DEF;DET N;SG N;PL _
founded in 1925 as games for everyman , the open air theater on the great steps in front of st. michael still attracts a diverse public .	found in 1925 as game for everyman , the open air theater on the great step in front of st. michael still attract a diverse public .	PST;V;V.PTCP ADP NUM ADP N;PL ADP N;SG _ DEF;DET ADJ N;SG N;SG ADP DEF;DET ADJ N;PL ADP N;SG ADP PROPN;SG PROPN;SG ADV 3;FIN;IND;PRS;SG;V DET;INDF ADJ N;SG _
the attempts at making peace finally ended in spring of 1415 and enrique decided to execute his plan : an invasion of the entire kingdom of france .	the attempt at make peace finally end in spring of 1415 and enrique decide to execute he plan : a invasion of the entire kingdom of france .	DEF;DET N;PL CONJ V;V.MSDR N;SG ADV FIN;IND;PST;V ADP N;SG ADP NUM CONJ PROPN;SG FIN;IND;PST;V PART NFIN;V 3;MASC;PRO;SG N;SG _ DET;INDF N;SG ADP DEF;DET ADJ PROPN;SG ADP PROPN;SG _
louis post dispatch called it one of labeouf 's best performances .	louis post dispatch call it one of labeouf 's best performance .	PROPN;SG PROPN;SG PROPN;SG FIN;IND;PST;V 3;ACC;NEUT;PRO;SG NUM ADP PROPN;SG PART ADJ;RL N;PL _
using alvarez 's dipole antenna to achieve a very high angular resolution , gca allows ground - based radar operators watching special precision displays to guide a landing airplane to the runway by transmitting verbal commands to the pilot .	use alvarez 's dipole antenna to achieve a very high angular resolution , gca allow ground - based radar operator watch special precision display to guide a land airplane to the runway by transmit verbal command to the pilot .	V;V.MSDR PROPN;SG PART N;SG N;SG PART NFIN;V DET;INDF ADV ADJ ADJ N;SG _ PROPN;SG 3;FIN;IND;PRS;SG;V N;SG _ FIN;IND;PST;V N;SG N;PL V;V.MSDR ADJ N;SG N;PL PART NFIN;V DET;INDF V;V.MSDR N;SG ADP DEF;DET N;SG CONJ V;V.MSDR ADJ N;PL ADP DEF;DET N;SG _
“ more people are turning to credit ... while this borrowing might be manageable now , a sudden change in circumstances could lead to debt problems . ”	“ more people be turn to credit … while this borrowing might be manageable now , a sudden change in circumstance could lead to debt problem . ”	_ ADJ;CMPR N;PL FIN;IND;PRS;V PRS;V;V.PTCP ADP N;SG _ CONJ DET;SG N;SG FIN;V NFIN;V ADJ ADV _ DET;INDF ADJ N;SG ADP N;PL FIN;V NFIN;V ADP N;SG N;PL _ _
it 's the election , of course , not " game of thrones . "	it be the election , of course , not " game of throne . "	3;NEUT;NOM;PRO;SG 3;FIN;IND;PRS;SG;V DEF;DET N;SG _ ADP N;SG _ NEG;PART _ N;SG ADP N;PL _ _
cities such as milan depend on 80 percent of water from alpine runoff .	city such as milan depend on 80 percent of water from alpine runoff .	N;PL ADJ ADP PROPN;SG FIN;IND;PRS;V ADP NUM N;SG ADP N;SG ADP ADJ N;SG _
the yerba buena garden was built at the beginning of the 1990s on the roof of the moscone north convention center .	the yerba buena garden be build at the beginning of the 1990 on the roof of the moscone north convention center .	DEF;DET PROPN;SG PROPN;SG PROPN;SG 3;FIN;IND;PST;SG;V PST;V;V.PTCP ADP DEF;DET N;SG ADP DEF;DET N;PL ADP DEF;DET N;SG ADP DEF;DET PROPN;SG PROPN;SG PROPN;SG PROPN;SG _
donald trump is a pompous , arrogant , entitled person that cares about himself , and his temperament is toxic to the united states .	donald trump be a pompous , arrogant , entitled person that care about himself , and he temperament be toxic to the united state .	PROPN;SG PROPN;SG 3;FIN;IND;PRS;SG;V DET;INDF ADJ _ ADJ _ ADJ N;SG PRO 3;FIN;IND;PRS;SG;V ADP 3;ACC;MASC;PRO;REFL;SG _ CONJ 3;MASC;PRO;SG N;SG 3;FIN;IND;PRS;SG;V ADJ ADP DEF;DET PROPN;SG PL;PROPN _
global warming has caused a change in the pattern of the rainy seasons .	global warming have cause a change in the pattern of the rainy season .	ADJ N;SG 3;FIN;IND;PRS;SG;V PST;V;V.PTCP DET;INDF N;SG ADP DEF;DET N;SG ADP DEF;DET ADJ N;PL _
the achaemenid troops conquered thrace , the coastal greek cities , and the paeonians .	the achaemenid troops conquer thrace , the coastal greek city , and the paeonians .	DEF;DET ADJ N;PL FIN;IND;PST;V PROPN;SG _ DEF;DET ADJ ADJ N;PL _ CONJ DEF;DET PL;PROPN _
the oldest known historical reference to the city is to be found on an inscription of conquered sites at thutmose 's temple at karnak .	the oldest know historical reference to the city be to be find on a inscription of conquer site at thutmose 's temple at karnak .	DEF;DET ADJ;RL PST;V;V.PTCP ADJ N;SG ADP DEF;DET N;SG 3;FIN;IND;PRS;SG;V PART NFIN;V PST;V;V.PTCP ADP DET;INDF N;SG ADP PST;V;V.PTCP N;PL ADP PROPN;SG PART N;SG ADP PROPN;SG _
with population growth , new indigenous quarters were created .	with population growth , new indigenous quarter be create .	ADP N;SG N;SG _ ADJ ADJ N;PL FIN;IND;PST;V PST;V;V.PTCP _
a un review of national plans to cut carbon says they are well short of the levels needed to keep the rise in global temperatures under 2c .	a un review of national plan to cut carbon say they be well short of the level need to keep the rise in global temperature under 2c .	DET;INDF PROPN;SG N;SG ADP ADJ N;PL PART NFIN;V N;SG 3;FIN;IND;PRS;SG;V 3;NOM;PL;PRO FIN;IND;PRS;V ADV ADJ ADP DEF;DET N;PL PST;V;V.PTCP PART NFIN;V DEF;DET N;SG ADP ADJ N;PL ADP N;SG _
do you argue with your alarm clock ?	do you argue with you alarm clock ?	FIN;IND;PRS;V 2;NOM;PRO NFIN;V ADP 2;PRO N;SG N;SG _
the first world war brought about shifts and new developments in colonial politics .	the first world war bring about shift and new development in colonial politics .	DEF;DET ADJ PROPN;SG PROPN;SG FIN;IND;PST;V ADP N;PL CONJ ADJ N;PL ADP ADJ N;PL _
at the end of the 8th century , the moravian principality came into being in present - day south - eastern moravia , záhorie in south - western slovakia and parts of lower austria .	at the end of the 8th century , the moravian principality come into being in present - day south - eastern moravia , záhorie in south - western slovakia and part of lower austria .	ADP DEF;DET N;SG ADP DEF;DET ADJ N;SG _ DEF;DET ADJ PROPN;SG FIN;IND;PST;V ADP N;SG ADP ADJ _ ADJ ADJ _ ADJ PROPN;SG _ PROPN;SG ADP ADJ _ ADJ PROPN;SG CONJ N;PL ADP PROPN;SG PROPN;SG _
a proper theology would therefore have to be constructed in the light of its future goal .	a proper theology would therefore have to be construct in the light of its future goal .	DET;INDF ADJ N;SG FIN;V ADV NFIN;V PART NFIN;V PST;V;V.PTCP ADP DEF;DET N;SG ADP 3;NEUT;PRO;SG ADJ N;SG _
oil , gold or food products , such as wheat , are natural resources , in which investors invest billions worldwide .	oil , gold or food product , such as wheat , be natural resource , in which investor invest billion worldwide .	N;SG _ N;SG CONJ N;SG N;PL _ ADJ ADP N;SG _ FIN;IND;PRS;V ADJ N;PL _ ADP PRO N;PL FIN;IND;PRS;V N;PL ADV _
as early as 1926 , meyer had written to irène joliot - curie suggesting that rona work with her to learn how his laboratory could make their own polonium samples .	as early as 1926 , meyer have write to irène joliot - curie suggest that rona work with she to learn how he laboratory could make they own polonium sample .	ADV ADV ADP NUM _ PROPN;SG FIN;IND;PST;V PST;V;V.PTCP ADP PROPN;SG PROPN;SG _ PROPN;SG V;V.MSDR CONJ PROPN;SG NFIN;V ADP 3;ACC;FEM;PRO;SG PART NFIN;V ADV 3;MASC;PRO;SG N;SG FIN;V NFIN;V 3;PL;PRO ADJ N;SG N;PL _
not everyone can rise above it .	not everyone can rise above it .	ADV;NEG N;SG FIN;V NFIN;V ADP 3;NEUT;NOM;PRO;SG _
the smartphone generation received an app it deserved , where , in the best case scenario , the most idiotic situation received an audience of millions .	the smartphone generation receive a app it deserve , where , in the best case scenario , the most idiotic situation receive a audience of million .	DEF;DET N;SG N;SG FIN;IND;PST;V DET;INDF N;SG 3;NEUT;NOM;PRO;SG FIN;IND;PST;V _ ADV _ ADP DEF;DET ADJ;RL N;SG N;SG _ DEF;DET ADV ADJ N;SG FIN;IND;PST;V DET;INDF N;SG ADP N;PL _
the historical city hall in obermarsberg originates from the 13th century and was refurbished after the thirty years ' war .	the historical city hall in obermarsberg originate from the 13th century and be refurbish after the thirty year ' war .	DEF;DET ADJ N;SG N;SG ADP PROPN;SG 3;FIN;IND;PRS;SG;V ADP DEF;DET ADJ N;SG CONJ 3;FIN;IND;PST;SG;V PST;V;V.PTCP ADP DEF;DET NUM N;PL PART N;SG _
as a steady wind begins to blow , fine particles lying on the exposed ground begin to vibrate .	as a steady wind begin to blow , fine particle lie on the expose ground begin to vibrate .	CONJ DET;INDF ADJ N;SG 3;FIN;IND;PRS;SG;V PART NFIN;V _ ADJ N;PL V;V.MSDR ADP DEF;DET PST;V;V.PTCP N;SG FIN;IND;PRS;V PART NFIN;V _
